"yr","cst","cst_n","pty_n","pv1","pvs1"
2010,51,"california 31","write-in",3,3.28999994962942e-05
2010,51,"california 31","republican",14740,0.161789566278458
2010,52,"california 32","republican",31697,0.289586693048477
2010,52,"california 32","democrat",77759,0.710413336753845
2010,53,"california 33","republican",21342,0.139187261462212
2010,53,"california 33","write-in",1,6.520000169985e-06
2010,53,"california 33","democrat",131990,0.860806226730347
2010,54,"california 34","republican",20457,0.227707341313362
2010,54,"california 34","democrat",69382,0.772292673587799
2010,55,"california 35","democrat",98131,0.793336808681488
2010,55,"california 35","republican",25561,0.206647053360939
2010,55,"california 35","write-in",2,1.61999996635132e-05
2010,56,"california 36","democrat",114489,0.596188187599182
2010,56,"california 36","libertarian",10840,0.0564480423927307
2010,56,"california 36","republican",66706,0.347363770008087
2010,57,"california 37","republican",29159,0.232309311628342
2010,57,"california 37","democrat",85799,0.683559358119965
2010,57,"california 37","independent",10560,0.0841313600540161
2010,58,"california 38","republican",30883,0.265450149774551
2010,58,"california 38","democrat",85459,0.734549880027771
2010,59,"california 39","american independent",5334,0.0413613431155682
2010,59,"california 39","democrat",81590,0.632671892642975
2010,59,"california 39","republican",42037,0.325966775417328
2010,60,"california 40","republican",119455,0.667887389659882
2010,60,"california 40","democrat",59400,0.332112610340118
2010,61,"california 41","democrat",74394,0.367766439914703
2010,61,"california 41","republican",127857,0.632060527801514
2010,61,"california 41","write-in",35,0.000173021995578893
2010,62,"california 42","libertarian",12115,0.0592716187238693
2010,62,"california 42","democrat",65122,0.318603903055191
2010,62,"california 42","republican",127161,0.622124493122101
2010,63,"california 43","democrat",70026,0.654962778091431
2010,63,"california 43","republican",36890,0.345037221908569
2010,64,"california 44","democrat",85784,0.443864941596985
2010,64,"california 44","republican",107482,0.556135058403015
2010,65,"california 45","republican",106472,0.514852464199066
2010,65,"california 45","american independent",13188,0.0637714490294456
2010,65,"california 45","democrat",87141,0.42137610912323
2010,66,"california 46","democrat",84940,0.377877235412598
2010,66,"california 46","republican",139822,0.622033774852753
2010,66,"california 46","write-in",20,8.90000010258518e-05
2010,67,"california 47","independent",7443,0.077568419277668
2010,67,"california 47","democrat",50832,0.529753863811493
2010,67,"california 47","republican",37679,0.392677754163742
2010,68,"california 48","republican",145481,0.599380373954773
2010,68,"california 48","democrat",88465,0.364474982023239
2010,68,"california 48","libertarian",8773,0.0361446775496006
2010,69,"california 49","american independent",6585,0.0347169116139412
2010,69,"california 49","libertarian",4290,0.0226173978298903
2010,69,"california 49","republican",119088,0.627846300601959
2010,69,"california 49","democrat",59714,0.314819395542145
2010,70,"california 50","libertarian",5546,0.0220884885638952
2010,70,"california 50","republican",142247,0.566538274288177
2010,70,"california 50","democrat",97818,0.389587432146072
2010,70,"california 50","peace and freedom",5470,0.0217857975512743
2010,71,"california 51","democrat",86423,0.600510001182556
2010,71,"california 51","write-in",5,3.4699998650467e-05
2010,71,"california 51","republican",57488,0.39945524930954
2010,72,"california 52","democrat",70870,0.320588797330856
2010,72,"california 52","libertarian",10732,0.0485474653542042
2010,72,"california 52","republican",139460,0.630863726139069
2010,73,"california 53","democrat",104800,0.622593998908997
2010,73,"california 53","republican",57230,0.339990973472595
2010,73,"california 53","libertarian",6298,0.0374150462448597
2010,74,"colorado 1","republican",59747,0.287589460611343
2010,74,"colorado 1","green",2923,0.0140697276219726
2010,74,"colorado 1","american constitution",2141,0.0103056058287621
2010,74,"colorado 1","democrat",140073,0.674235045909882
2010,74,"colorado 1","libertarian",2867,0.013800173997879
2010,75,"colorado 2","libertarian",5056,0.0195186734199524
2010,75,"colorado 2","republican",98171,0.378988862037659
2010,75,"colorado 2","democrat",148720,0.574133098125458
2010,75,"colorado 2","write-in",7,2.70000000455184e-05
2010,75,"colorado 2","american constitution",7080,0.0273323189467192
2010,76,"colorado 3","republican",129257,0.500998079776764
2010,76,"colorado 3","write-in",11,4.26000005973037e-05
2010,76,"colorado 3","democrat",118048,0.457552164793015
2010,76,"colorado 3","libertarian",5678,0.0220078378915787
2010,76,"colorado 3","unaffiliated",4982,0.0193101521581411
2010,76,"colorado 3","write-in",23,8.91000017873012e-05
2010,77,"colorado 4","republican",138634,0.524769008159637
2010,77,"colorado 4","democrat",109249,0.413538455963135
2010,77,"colorado 4","unaffiliated",3986,0.0150881400331855
2010,77,"colorado 4","american constitution",12312,0.0466044098138809
2010,78,"colorado 5","democrat",68039,0.292723953723907
2010,78,"colorado 5","libertarian",5680,0.0244370438158512
2010,78,"colorado 5","republican",152829,0.657515704631805
2010,78,"colorado 5","american constitution",5886,0.0253233183175325
2010,79,"colorado 6","libertarian",9466,0.0286031123250723
2010,79,"colorado 6","republican",217368,0.65681403875351
2010,79,"colorado 6","democrat",104104,0.314567774534225
2010,79,"colorado 6","write-in",5,1.51000003825175e-05
2010,80,"colorado 7","libertarian",10117,0.047991082072258
2010,80,"colorado 7","democrat",112667,0.534448087215424
2010,80,"colorado 7","republican",88026,0.41756084561348
2010,81,"connecticut 1","green",2564,0.0113432249054313
2010,81,"connecticut 1","democrat",130538,0.577504694461823
2010,81,"connecticut 1","write-in",3,1.33000003188499e-05
2010,81,"connecticut 1","socialist action",955,0.004224952775985
2010,81,"connecticut 1","republican",84076,0.371955156326294
2010,81,"connecticut 1","working families",7902,0.0349587239325047
2010,82,"connecticut 2","democrat",140888,0.570838153362274
2010,82,"connecticut 2","republican",95671,0.387631744146347
2010,82,"connecticut 2","green",3344,0.0135489385575056
2010,82,"connecticut 2","write-in",19,7.69999969634227e-05
2010,82,"connecticut 2","working families",6860,0.0277947727590799
2010,82,"connecticut 2","write-in",27,0.000109396001789719
